hari_ke,tanggal,total_kasus,kasus_baru,total_kematian,kematian_baru,total_sembuh,sembuh_baru,kasus_aktif,DR,RR,CAR
176,24/08/2020,155412,1877,6759,79,111060,3560,37593,0.0435,0.7146,0.2419
177,25/08/2020,157859,2447,6858,99,112867,1807,38134,0.0434,0.7150,0.2416
178,26/08/2020,160165,2306,6944,86,115409,2542,37812,0.0434,0.7206,0.2361
179,27/08/2020,162884,2719,7064,120,118575,3166,37245,0.0434,0.7280,0.2287
180,28/08/2020,165887,3003,7169,105,120900,2325,37818,0.0432,0.7288,0.2280
181,29/08/2020,169195,3308,7261,92,122802,1902,39132,0.0429,0.7258,0.2313
182,30/08/2020,172053,2858,7343,82,124185,1383,40525,0.0427,0.7218,0.2355
183,31/08/2020,174796,2743,7417,74,125959,1774,41420,0.0424,0.7206,0.2370
184,01/09/2020,177571,2775,7505,88,128057,2098,42009,0.0423,0.7212,0.2366
185,02/09/2020,180646,3075,7616,111,129971,1914,43059,0.0422,0.7195,0.2384
186,03/09/2020,184268,3622,7750,134,132055,2084,44463,0.0421,0.7166,0.2413
187,04/09/2020,187537,3269,7832,82,134181,2126,45524,0.0418,0.7155,0.2427
188,05/09/2020,190665,3128,7940,108,136401,2220,46324,0.0416,0.7154,0.2430
189,06/09/2020,194109,3444,8025,85,138575,2174,47509,0.0413,0.7139,0.2448
190,07/09/2020,196989,2880,8130,105,140652,2077,48207,0.0413,0.7140,0.2447
191,08/09/2020,200035,3046,8230,100,142958,2396,48847,0.0411,0.7147,0.2442
192,09/09/2020,203342,3307,8336,106,145200,2242,49806,0.0410,0.7141,0.2449
193,10/09/2020,207203,3861,8456,120,147510,2310,51237,0.0408,0.7119,0.2473
194,11/09/2020,210940,3737,8544,88,150217,2707,52179,0.0405,0.7121,0.2474
195,12/09/2020,214746,3806,8650,106,152458,2241,53638,0.0403,0.7099,0.2498
196,13/09/2020,218382,3636,8723,73,155010,2552,54649,0.0399,0.7098,0.2502
197,14/09/2020,221523,3141,8841,118,158405,3395,54277,0.0399,0.7151,0.2450
198,15/09/2020,225030,3507,8965,124,161065,2660,55000,0.0398,0.7157,0.2444
199,16/09/2020,228993,3963,9100,135,164101,3036,55792,0.0397,0.7166,0.2436
200,17/09/2020,232628,3635,9222,122,166686,2585,56720,0.0396,0.7165,0.2438
201,18/09/2020,236519,3891,9336,114,170774,4088,56409,0.0395,0.7220,0.2385
202,19/09/2020,240687,4168,9448,112,174350,3576,56889,0.0393,0.7244,0.2364
203,20/09/2020,244676,3989,9553,105,177327,2977,57796,0.0390,0.7247,0.2362
204,21/09/2020,248852,4176,9677,124,180797,3470,58378,0.0389,0.7265,0.2346
205,22/09/2020,252923,4071,9837,160,184298,3501,58788,0.0389,0.7287,0.2324
206,23/09/2020,257388,4465,9977,140,187958,3660,59453,0.0388,0.7303,0.2310
207,24/09/2020,262022,4634,10105,128,191853,3895,60064,0.0386,0.7322,0.2292
208,25/09/2020,266845,4823,10218,113,196196,4343,60431,0.0383,0.7352,0.2265
209,26/09/2020,271339,4494,10308,90,199403,3207,61628,0.0380,0.7349,0.2271
210,27/09/2020,275213,3874,10386,78,203014,3611,61813,0.0377,0.7377,0.2246
211,28/09/2020,278722,3509,10473,87,206870,3856,61379,0.0376,0.7422,0.2202
212,29/09/2020,282724,4002,10601,128,210437,3567,61686,0.0375,0.7443,0.2182
213,30/09/2020,287008,4284,10740,139,214947,4510,61321,0.0374,0.7489,0.2137
214,01/10/2020,291182,4174,10856,116,218487,3540,61839,0.0373,0.7503,0.2124
215,02/10/2020,295499,4317,10972,116,221340,2853,63187,0.0371,0.7490,0.2138
216,03/10/2020,299506,4007,11055,83,225052,3712,63399,0.0369,0.7514,0.2117
217,04/10/2020,303498,3992,11151,96,228453,3401,63894,0.0367,0.7527,0.2105
218,05/10/2020,307120,3622,11253,102,232593,4140,63274,0.0366,0.7573,0.2060
219,06/10/2020,311176,4056,11374,121,236437,3844,63365,0.0366,0.7598,0.2036
220,07/10/2020,315714,4538,11472,98,240291,3854,63951,0.0363,0.7611,0.2026
221,08/10/2020,320564,4850,11580,108,244060,3769,64924,0.0361,0.7613,0.2025
